"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0060051","GO:0060051",1,"GO:0060051",13.3463379828639,0,"negative regulation of protein glycosylation","negative regulation of protein glycosylation",0.896688524590164,0.494692307692308,0
"GO:0060124","GO:0060124",2,"GO:0060124",12.5660630388504,1,"positive regulation of growth hormone secretion","positive regulation of growth hormone secretion",0.812606557377049,0.445238095238095,0
"GO:0051901","GO:0051901",3,"GO:0051901",11.4306588685639,0,"positive regulation of mitochondrial depolarization","positive regulation of mitochondrial depolarization",0.858959016393443,0.5488,0
"GO:0051900","GO:0051900",3,"GO:0051901",10.7017256408504,0,"regulation of mitochondrial depolarization","positive regulation of mitochondrial depolarization",0.858336065573771,0.5221,0.855
"GO:0010561","GO:0010561",1,"GO:0060051",10.6969267579687,0,"negative regulation of glycoprotein biosynthetic process","negative regulation of protein glycosylation",0.888319672131147,0.473384615384615,0.822
"GO:0060049","GO:0060049",1,"GO:0060051",10.6969267579687,4,"regulation of protein glycosylation","negative regulation of protein glycosylation",0.8825,0.468230769230769,0.812
"GO:0060123","GO:0060123",2,"GO:0060124",10.6089715876136,0,"regulation of growth hormone secretion","positive regulation of growth hormone secretion",0.799606557377049,0.425857142857143,0.804
"GO:0046060","GO:0046060",4,"GO:0046060",10.3659335389273,0,"dATP metabolic process","dATP metabolic process",0.906434426229508,0.5735,0
"GO:0006044","GO:0006044",4,"GO:0046060",10.1418633293169,12,"N-acetylglucosamine metabolic process","dATP metabolic process",0.928827868852459,0.744928571428571,0.116
"GO:0006517","GO:0006517",1,"GO:0060051",10.0649035432633,7,"protein deglycosylation","negative regulation of protein glycosylation",0.889598360655738,0.578153846153846,0.405
"GO:0030252","GO:0030252",2,"GO:0060124",9.66393707996105,1,"growth hormone secretion","positive regulation of growth hormone secretion",0.812983606557377,0.499047619047619,0.583
"GO:0010616","GO:0010616",5,"GO:0010616",9.22460438613079,0,"negative regulation of cardiac muscle adaptation","negative regulation of cardiac muscle adaptation",0.904237704918033,0.4751,0
"GO:0009215","GO:0009215",4,"GO:0046060",9.10880902896236,0,"purine deoxyribonucleoside triphosphate metabolic process","dATP metabolic process",0.902016393442623,0.5735,0.706
"GO:0051882","GO:0051882",3,"GO:0051901",9.10880902896236,0,"mitochondrial depolarization","positive regulation of mitochondrial depolarization",0.906934426229508,0.5291,0.562
"GO:1903019","GO:1903019",1,"GO:0060051",9.10880902896236,0,"negative regulation of glycoprotein metabolic process","negative regulation of protein glycosylation",0.866770491803279,0.500692307692308,0.62
"GO:0010612","GO:0010612",5,"GO:0010616",9.10880902896236,0,"regulation of cardiac muscle adaptation","negative regulation of cardiac muscle adaptation",0.891893442622951,0.4437,0.81
"GO:0009200","GO:0009200",4,"GO:0046060",9.06687313612618,0,"deoxyribonucleoside triphosphate metabolic process","dATP metabolic process",0.893286885245902,0.544785714285714,0.629
"GO:0010524","GO:0010524",6,"GO:0010524",9.04262714855212,0,"positive regulation of calcium ion transport into cytosol","positive regulation of calcium ion transport into cytosol",0.826680327868852,0.4698,0
"GO:0014745","GO:0014745",5,"GO:0010616",9.04262714855212,0,"negative regulation of muscle adaptation","negative regulation of cardiac muscle adaptation",0.890885245901639,0.4641,0.839
"GO:0010522","GO:0010522",6,"GO:0010524",8.97472691291419,1,"regulation of calcium ion transport into cytosol","positive regulation of calcium ion transport into cytosol",0.821106557377049,0.4348,0.877
"GO:1901071","GO:1901071",4,"GO:0046060",8.85761351381784,0,"glucosamine-containing compound metabolic process","dATP metabolic process",0.91777868852459,0.710571428571429,0.146
"GO:0043243","GO:0043243",7,"GO:0043243",8.56702706695299,0,"positive regulation of protein-containing complex disassembly","positive regulation of protein-containing complex disassembly",0.880819672131148,0.649142857142857,0
"GO:0060402","GO:0060402",6,"GO:0010524",8.53197455982579,0,"calcium ion transport into cytosol","positive regulation of calcium ion transport into cytosol",0.85677868852459,0.4062,0.711
"GO:0010559","GO:0010559",1,"GO:0060051",8.43195333891691,0,"regulation of glycoprotein biosynthetic process","negative regulation of protein glycosylation",0.871803278688525,0.444692307692308,0.67
"GO:0006040","GO:0006040",4,"GO:0046060",8.39494331629738,0,"amino sugar metabolic process","dATP metabolic process",0.903893442622951,0.681,0.191
"GO:0014887","GO:0014887",5,"GO:0010616",7.97057095314303,0,"cardiac muscle adaptation","negative regulation of cardiac muscle adaptation",0.919901639344262,0.5568,0.533
"GO:1904181","GO:1904181",3,"GO:0051901",7.8942073160943,0,"positive regulation of membrane depolarization","positive regulation of mitochondrial depolarization",0.827090163934426,0.543,0.808
"GO:0046326","GO:0046326",8,"GO:0046326",7.83506491948518,2,"positive regulation of glucose import","positive regulation of glucose import",0.836311475409836,0.590608695652174,0
"GO:0009151","GO:0009151",4,"GO:0046060",7.83506491948518,1,"purine deoxyribonucleotide metabolic process","dATP metabolic process",0.899901639344262,0.571285714285714,0.843
"GO:1903018","GO:1903018",1,"GO:0060051",7.5990632989533,0,"regulation of glycoprotein metabolic process","negative regulation of protein glycosylation",0.845106557377049,0.467923076923077,0.506
"GO:0032024","GO:0032024",2,"GO:0060124",7.57678690424215,5,"positive regulation of insulin secretion","positive regulation of growth hormone secretion",0.827688524590164,0.472047619047619,0.738
"GO:0010828","GO:0010828",8,"GO:0046326",7.52709912005304,1,"positive regulation of glucose transmembrane transport","positive regulation of glucose import",0.828549180327869,0.578086956521739,0.89
"GO:0051881","GO:0051881",3,"GO:0051901",7.52709912005304,3,"regulation of mitochondrial membrane potential","positive regulation of mitochondrial depolarization",0.890426229508197,0.5395,0.415
"GO:0046324","GO:0046324",8,"GO:0046326",7.33011457090076,1,"regulation of glucose import","positive regulation of glucose import",0.828090163934426,0.579086956521739,0.79
"GO:0009394","GO:0009394",4,"GO:0046060",7.30794159194957,0,"2'-deoxyribonucleotide metabolic process","dATP metabolic process",0.887524590163934,0.523857142857143,0.721
"GO:0019692","GO:0019692",4,"GO:0046060",7.25802814161774,0,"deoxyribose phosphate metabolic process","dATP metabolic process",0.878713114754098,0.584357142857143,0.477
"GO:0090277","GO:0090277",2,"GO:0060124",7.2418986413172,0,"positive regulation of peptide hormone secretion","positive regulation of growth hormone secretion",0.809827868852459,0.436428571428571,0.93
"GO:0002793","GO:0002793",2,"GO:0060124",7.20232799141964,0,"positive regulation of peptide secretion","positive regulation of growth hormone secretion",0.816,0.540047619047619,0.649
"GO:0009262","GO:0009262",4,"GO:0046060",7.16785151126865,0,"deoxyribonucleotide metabolic process","dATP metabolic process",0.878483606557377,0.505071428571429,0.662
"GO:0003254","GO:0003254",3,"GO:0051901",7.13745421041189,6,"regulation of membrane depolarization","positive regulation of mitochondrial depolarization",0.830155737704918,0.5231,0.722
"GO:0010827","GO:0010827",8,"GO:0046326",7.02820275872691,0,"regulation of glucose transmembrane transport","positive regulation of glucose import",0.818688524590164,0.563869565217391,0.727
"GO:0046323","GO:0046323",8,"GO:0046326",6.92128259368722,10,"glucose import","positive regulation of glucose import",0.861762295081967,0.602608695652174,0.535
"GO:0070265","GO:0070265",7,"GO:0043243",6.79528201185092,2,"necrotic cell death","positive regulation of protein-containing complex disassembly",0.893237704918033,0.800428571428571,0.14
"GO:1904427","GO:1904427",8,"GO:0046326",6.75041756475018,0,"positive regulation of calcium ion transmembrane transport","positive regulation of glucose import",0.850868852459016,0.676652173913044,0.382
"GO:0031343","GO:0031343",7,"GO:0043243",6.68593137366722,0,"positive regulation of cell killing","positive regulation of protein-containing complex disassembly",0.841434426229508,0.669428571428571,0.403
"GO:0046887","GO:0046887",2,"GO:0060124",6.59609205943754,2,"positive regulation of hormone secretion","positive regulation of growth hormone secretion",0.816090163934426,0.512142857142857,0.752
"GO:1904659","GO:1904659",8,"GO:0046326",6.5542795632443,4,"glucose transmembrane transport","positive regulation of glucose import",0.85522131147541,0.585739130434783,0.494
"GO:0008645","GO:0008645",8,"GO:0046326",6.47987689123409,1,"hexose transmembrane transport","positive regulation of glucose import",0.849672131147541,0.580869565217391,0.471
"GO:0007204","GO:0007204",6,"GO:0010524",6.42188494425641,29,"positive regulation of cytosolic calcium ion concentration","positive regulation of calcium ion transport into cytosol",0.926450819672131,0.5734,0.463
"GO:0015749","GO:0015749",8,"GO:0046326",6.37266692158623,7,"monosaccharide transmembrane transport","positive regulation of glucose import",0.842196721311475,0.574826086956522,0.464
"GO:0014888","GO:0014888",5,"GO:0010616",6.33854773843762,0,"striated muscle adaptation","negative regulation of cardiac muscle adaptation",0.908631147540984,0.5351,0.48
"GO:0051899","GO:0051899",3,"GO:0051901",6.33854773843762,0,"membrane depolarization","positive regulation of mitochondrial depolarization",0.887745901639344,0.5068,0.415
"GO:0031341","GO:0031341",7,"GO:0043243",6.33145705877627,0,"regulation of cell killing","positive regulation of protein-containing complex disassembly",0.829040983606557,0.642571428571429,0.318
"GO:0034219","GO:0034219",8,"GO:0046326",6.33145705877627,2,"carbohydrate transmembrane transport","positive regulation of glucose import",0.83233606557377,0.566260869565217,0.471
"GO:0042391","GO:0042391",3,"GO:0051901",6.11302961108047,68,"regulation of membrane potential","positive regulation of mitochondrial depolarization",0.868155737704918,0.5122,0.354
"GO:0043502","GO:0043502",5,"GO:0010616",5.98255225042614,0,"regulation of muscle adaptation","negative regulation of cardiac muscle adaptation",0.875688524590164,0.4343,0.688
"GO:0008643","GO:0008643",8,"GO:0046326",5.91768841194382,27,"carbohydrate transport","positive regulation of glucose import",0.854811475409836,0.62695652173913,0.303
"GO:0051928","GO:0051928",8,"GO:0046326",5.84885320397082,1,"positive regulation of calcium ion transport","positive regulation of glucose import",0.836434426229508,0.674608695652174,0.325
"GO:0042886","GO:0042886",8,"GO:0046326",5.84248893756439,0,"amide transport","positive regulation of glucose import",0.86083606557377,0.747913043478261,0.119
"GO:0050796","GO:0050796",2,"GO:0060124",5.82989334758895,9,"regulation of insulin secretion","positive regulation of growth hormone secretion",0.813401639344262,0.445380952380952,0.614
